Node Type,Node,Node Interface,Peer Type,Peer Node,Peer Interface,Node Interface Enabled
l3leaf,OTI-DC01-Leaf1,Ethernet1,server,DC01-0601-ESX01,Onboard_NIC_1,True
l3leaf,OTI-DC01-Leaf1,Ethernet11,server,DC01-0601-ESX03,Onboard_NIC_1,True
l3leaf,OTI-DC01-Leaf1,Ethernet12,server,DC01-0601-ESX04,Onboard_NIC_1,True
l3leaf,OTI-DC01-Leaf1,Ethernet25,server,DC01-0601-ESX01,Onboard_NIC_2,True
l3leaf,OTI-DC01-Leaf1,Ethernet30,server,DC01-0601-ESX05,Onboard_NIC_1,True
l3leaf,OTI-DC01-Leaf1,Ethernet31,server,DC01-0601-ESX06,Onboard_NIC_1,True
l3leaf,OTI-DC01-Leaf1,Ethernet55/1,spine,OTI-DC01-Spine1,Ethernet1/1,True
l3leaf,OTI-DC01-Leaf1,Ethernet56/1,spine,OTI-DC01-Spine2,Ethernet1/1,True
l3leaf,OTI-DC01-Leaf2,Ethernet1,server,DC01-0601-ESX01,PCI_slot_1_Port_1,True
l3leaf,OTI-DC01-Leaf2,Ethernet11,server,DC01-0601-ESX03,PCI_slot_1_Port_1,True
l3leaf,OTI-DC01-Leaf2,Ethernet12,server,DC01-0601-ESX04,PCI_slot_1_Port_1,True
l3leaf,OTI-DC01-Leaf2,Ethernet25,server,DC01-0601-ESX01,PCI_slot_2_Port_2,True
l3leaf,OTI-DC01-Leaf2,Ethernet30,server,DC01-0601-ESX05,PCI_slot_1_Port_1,True
l3leaf,OTI-DC01-Leaf2,Ethernet31,server,DC01-0601-ESX06,PCI_slot_1_Port_1,True
l3leaf,OTI-DC01-Leaf2,Ethernet55/1,spine,OTI-DC01-Spine1,Ethernet2/1,True
l3leaf,OTI-DC01-Leaf2,Ethernet56/1,spine,OTI-DC01-Spine2,Ethernet2/1,True
l3leaf,OTI-DC01-Leaf3,Ethernet1,server,DC01-0601-ESX03,Onboard_NIC_2,True
l3leaf,OTI-DC01-Leaf3,Ethernet2,server,DC01-0601-ESX04,Onboard_NIC_2,True
l3leaf,OTI-DC01-Leaf3,Ethernet3,server,DC01-0601-ESX05,Onboard_NIC_2,True
l3leaf,OTI-DC01-Leaf3,Ethernet4,server,DC01-0601-ESX06,Onboard_NIC_2,True
l3leaf,OTI-DC01-Leaf3,Ethernet11,server,DC01-0601-SRVA,Port_0,True
l3leaf,OTI-DC01-Leaf3,Ethernet12,server,DC01-0601-SRVB,Port_0,True
l3leaf,OTI-DC01-Leaf3,Ethernet13,server,DC01-0601-SRVC,Port_0,True
l3leaf,OTI-DC01-Leaf3,Ethernet14,server,DC01-0601-SRVD,Port_0,True
l3leaf,OTI-DC01-Leaf3,Ethernet55/1,spine,OTI-DC01-Spine1,Ethernet3/1,True
l3leaf,OTI-DC01-Leaf3,Ethernet56/1,spine,OTI-DC01-Spine2,Ethernet3/1,True
l3leaf,OTI-DC01-Leaf4,Ethernet1,server,DC01-0601-ESX03,PCI_slot_2_Port_2,True
l3leaf,OTI-DC01-Leaf4,Ethernet2,server,DC01-0601-ESX04,PCI_slot_2_Port_2,True
l3leaf,OTI-DC01-Leaf4,Ethernet3,server,DC01-0601-ESX05,PCI_slot_2_Port_2,True
l3leaf,OTI-DC01-Leaf4,Ethernet4,server,DC01-0601-ESX06,PCI_slot_2_Port_2,True
l3leaf,OTI-DC01-Leaf4,Ethernet11,server,DC01-0601-SRVA,Port_1,True
l3leaf,OTI-DC01-Leaf4,Ethernet12,server,DC01-0601-SRVB,Port_1,True
l3leaf,OTI-DC01-Leaf4,Ethernet13,server,DC01-0601-SRVC,Port_1,True
l3leaf,OTI-DC01-Leaf4,Ethernet14,server,DC01-0601-SRVD,Port_1,True
l3leaf,OTI-DC01-Leaf4,Ethernet55/1,spine,OTI-DC01-Spine1,Ethernet4/1,True
l3leaf,OTI-DC01-Leaf4,Ethernet56/1,spine,OTI-DC01-Spine2,Ethernet4/1,True
l3leaf,OTI-DC01-Leaf5A,Ethernet1,server,DC01-0601-ESX01,PCI_slot_1_Port_2,True
l3leaf,OTI-DC01-Leaf5A,Ethernet3,server,DC01-0601-ESX03,PCI_slot_1_Port_2,True
l3leaf,OTI-DC01-Leaf5A,Ethernet4,server,DC01-0601-ESX04,PCI_slot_1_Port_2,True
l3leaf,OTI-DC01-Leaf5A,Ethernet5,server,DC01-0601-ESX05,PCI_slot_1_Port_2,True
l3leaf,OTI-DC01-Leaf5A,Ethernet6,server,DC01-0601-ESX06,PCI_slot_1_Port_2,True
l3leaf,OTI-DC01-Leaf5A,Ethernet25,server,DC01-0601-SRVD,Port_2,True
l3leaf,OTI-DC01-Leaf5A,Ethernet52/1,other,OTI-DC02-Leaf5A,Ethernet52/1,True
l3leaf,OTI-DC01-Leaf5A,Ethernet53/1,mlag_peer,OTI-DC01-Leaf5B,Ethernet53/1,True
l3leaf,OTI-DC01-Leaf5A,Ethernet54/1,mlag_peer,OTI-DC01-Leaf5B,Ethernet54/1,True
l3leaf,OTI-DC01-Leaf5A,Ethernet55/1,spine,OTI-DC01-Spine1,Ethernet5/1,True
l3leaf,OTI-DC01-Leaf5A,Ethernet56/1,spine,OTI-DC01-Spine2,Ethernet5/1,True
l3leaf,OTI-DC01-Leaf5B,Ethernet1,server,DC01-0601-ESX01,PCI_slot_2_Port_1,True
l3leaf,OTI-DC01-Leaf5B,Ethernet3,server,DC01-0601-ESX03,PCI_slot_2_Port_1,True
l3leaf,OTI-DC01-Leaf5B,Ethernet4,server,DC01-0601-ESX04,PCI_slot_2_Port_1,True
l3leaf,OTI-DC01-Leaf5B,Ethernet5,server,DC01-0601-ESX05,PCI_slot_2_Port_1,True
l3leaf,OTI-DC01-Leaf5B,Ethernet6,server,DC01-0601-ESX06,PCI_slot_2_Port_1,True
l3leaf,OTI-DC01-Leaf5B,Ethernet25,server,DC01-0601-SRVD,Port_3,True
l3leaf,OTI-DC01-Leaf5B,Ethernet52/1,other,OTI-DC02-Leaf5B,Ethernet52/1,True
l3leaf,OTI-DC01-Leaf5B,Ethernet53/1,mlag_peer,OTI-DC01-Leaf5A,Ethernet53/1,True
l3leaf,OTI-DC01-Leaf5B,Ethernet54/1,mlag_peer,OTI-DC01-Leaf5A,Ethernet54/1,True
l3leaf,OTI-DC01-Leaf5B,Ethernet55/1,spine,OTI-DC01-Spine1,Ethernet6/1,True
l3leaf,OTI-DC01-Leaf5B,Ethernet56/1,spine,OTI-DC01-Spine2,Ethernet6/1,True
spine,OTI-DC01-Spine1,Ethernet1/1,l3leaf,OTI-DC01-Leaf1,Ethernet55/1,True
spine,OTI-DC01-Spine1,Ethernet2/1,l3leaf,OTI-DC01-Leaf2,Ethernet55/1,True
spine,OTI-DC01-Spine1,Ethernet3/1,l3leaf,OTI-DC01-Leaf3,Ethernet55/1,True
spine,OTI-DC01-Spine1,Ethernet4/1,l3leaf,OTI-DC01-Leaf4,Ethernet55/1,True
spine,OTI-DC01-Spine1,Ethernet5/1,l3leaf,OTI-DC01-Leaf5A,Ethernet55/1,True
spine,OTI-DC01-Spine1,Ethernet6/1,l3leaf,OTI-DC01-Leaf5B,Ethernet55/1,True
spine,OTI-DC01-Spine2,Ethernet1/1,l3leaf,OTI-DC01-Leaf1,Ethernet56/1,True
spine,OTI-DC01-Spine2,Ethernet2/1,l3leaf,OTI-DC01-Leaf2,Ethernet56/1,True
spine,OTI-DC01-Spine2,Ethernet3/1,l3leaf,OTI-DC01-Leaf3,Ethernet56/1,True
spine,OTI-DC01-Spine2,Ethernet4/1,l3leaf,OTI-DC01-Leaf4,Ethernet56/1,True
spine,OTI-DC01-Spine2,Ethernet5/1,l3leaf,OTI-DC01-Leaf5A,Ethernet56/1,True
spine,OTI-DC01-Spine2,Ethernet6/1,l3leaf,OTI-DC01-Leaf5B,Ethernet56/1,True
